subject,subNum,counterBalance,exclusionCode,runxrun_correction
1,4001,1,1,0
2,4002,2,0,0
3,4003,1,0,0
4,4004,2,1,0
5,4005,1,0,0
6,4006,2,0,0
7,4007,1,0,0
8,4008,2,0,0
9,4009,1,0,0
10,4010,2,0,0
11,4011,1,0,0
12,4012,2,0,0
13,4013,1,0,0
14,4014,2,0,0
15,4015,1,0,0
16,4016,2,0,0
17,4017,1,0,0
18,4018,2,0,0
19,4019,1,0,0
20,4020,2,0,0
21,4021,1,0,0
22,4022,2,0,0
23,4023,1,0,0
24,4024,2,0,0
25,4025,1,0,0
26,4026,2,0,0
27,4027,1,0,0
28,4028,2,0,0
29,4029,1,0,0
30,4030,2,0,0
