subject,subjNum,condition,runNum,trial,playerNum,endowment,propReturned,returned,trialRT,optimal_choice,binned_trial_num
1,4001,1,1,1,2,0,0.5,0,2.19221877,10,1
1,4001,1,1,2,4,0,0.1,0,0.981470394,0,1
1,4001,1,1,3,2,10,0.35,14,0.621329229,10,2
1,4001,1,1,4,1,-1,0.05,-1,-1,0,1
1,4001,1,1,5,4,10,0.2,8,0.997846867,0,2
1,4001,1,1,6,2,10,0.5,20,2.053510552,10,3
1,4001,1,1,7,2,10,0.45,18,1.302873474,10,4
1,4001,1,1,8,2,10,0.35,14,0.842428474,10,5
1,4001,1,1,9,2,10,0.4,16,0.630100702,10,6
1,4001,1,1,10,1,7.5,0.1,3,1.237188459,0,2
1,4001,1,1,11,3,10,0.25,10,1.30846534,10,1
1,4001,1,1,12,3,5,0.25,5,2.045145286,10,2
1,4001,1,1,13,1,5,0,0,1.444758943,0,3
1,4001,1,1,14,2,10,0.3,12,0.796982121,10,7
1,4001,1,1,15,4,0,0.35,0,1.432376333,10,3
1,4001,1,1,16,2,10,0.5,20,1.747166762,10,8
1,4001,1,1,17,4,10,0.25,10,1.276473496,10,4
1,4001,1,1,18,3,0,0.35,0,2.295390836,10,3
1,4001,1,1,19,4,2.5,0.2,2,1.299864107,0,5
1,4001,1,1,20,3,2.5,0.3,3,1.727387376,10,4
1,4001,1,1,21,4,0,0.5,0,0.181775163,10,6
1,4001,1,1,22,3,0,0.3,0,1.627032799,10,5
1,4001,1,1,23,4,0,0.45,0,1.531214824,10,7
1,4001,1,1,24,1,5,0.1,2,1.971170584,0,4
1,4001,1,1,25,1,0,0.1,0,0.865518887,0,5
1,4001,1,1,26,1,0,0.05,0,1.260333488,0,6
1,4001,1,1,27,2,10,0.5,20,1.325893182,10,9
1,4001,1,1,28,1,0,0,0,1.036923135,0,7
1,4001,1,1,29,3,2.5,0.3,3,0.709074771,10,6
1,4001,1,1,30,3,5,0.25,5,0.961844913,10,7
1,4001,1,2,31,2,10,0.4,16,0.767104524,10,10
1,4001,1,2,32,3,5,0.2,4,1.794589934,0,8
1,4001,1,2,33,3,2.5,0.15,1.5,1.18333973,0,9
1,4001,1,2,34,1,0,0,0,1.094281168,0,8
1,4001,1,2,35,3,0,0.15,0,0.465218872,0,10
1,4001,1,2,36,1,0,0.05,0,1.345951133,0,9
1,4001,1,2,37,1,0,0.2,0,1.285531785,0,10
1,4001,1,2,38,1,0,0.05,0,0.669429125,0,11
1,4001,1,2,39,4,2.5,0.05,0.5,1.309787155,0,8
