subjNum,subject,condition,LRPos,LRNeg,bias,m,prior,caPos,caNeg,BayesLL,AIC
4001,1,1,0.972271606,0.731642502,1.010339303,1.999977173,1.181309233,0.421746826,0.294011537,151.8745663,-317.7491326
4002,2,1,0.567977101,0.155438153,0.630967025,1.999984011,0.825156585,0.999986256,0.780922132,104.601258,-223.202516
4003,3,1,0.00589418,0.199789166,0.252673096,1.999999985,1.42E-09,0.99999994,0.944756514,113.1005538,-240.2011077
4004,4,1,0.681903848,0.150004757,1.033364842,1.999968224,0.697957108,0.881684882,0.805687248,87.23139748,-188.462795
4005,5,1,0.247165906,0.211347916,1.026342222,1.999999946,1.999999953,0.189587783,0.314974647,64.27382823,-142.5476565
4006,6,1,0.171652631,0.955252266,0.868610205,1.999999994,0.405466479,0.969238074,0.999999997,24.78663867,-63.57327735
4007,7,1,0.651603589,0.999591821,1.445370344,0.275497213,0.002987191,0.819416122,9.82E-05,190.8564398,-395.7128795
4008,8,1,0.999999972,0.089204679,0.008995794,1.799543433,1.999999969,0.999999932,0.46800876,136.7951531,-287.5903063
4009,9,1,0.492756384,0.408572563,3.17E-09,1.084923557,1.39E-06,0.592740793,0.55258308,144.4542207,-302.9084414
4010,10,1,0.056071081,0.999999991,0.28816322,1.999999989,9.60E-09,0.999999978,0.999999985,10.71467745,-35.42935489
4011,11,1,0.066768726,0.04397325,0.137678518,1.999999857,8.11E-09,0.999999997,1.90E-09,104.8791021,-223.7582042
4012,12,1,0.918785882,0.577973356,1.484902059,1.075478428,0.241082967,0.983701628,0.687028211,73.09894457,-160.1978891
4013,13,1,0.032965947,0.027231549,0.305582038,1.999999923,2.44E-09,0.011512529,0.999999997,149.5517071,-313.1034141
4014,14,1,0.070945988,0.337658471,0.6721315,1.999999962,4.65E-09,0.685732111,0.216621023,75.99082553,-165.9816511
4015,15,1,0.069528624,0.136626479,8.15E-09,1.999999986,0.099072082,0.999999996,0.561082792,109.9581597,-233.9163195
4016,16,1,0.134908438,0.548911926,0.724391135,1.971545321,0.159935625,0.316067462,0.590908279,29.87204096,-73.74408192
4017,17,1,0.350449467,0.438934544,1.825361075,1.999999976,1.665002789,0.636287504,0.999999982,21.55288716,-57.10577431
4018,18,1,0.128605383,0.013342372,1.99999996,1.999999941,1.155477941,0.999999935,0.999999807,116.7125953,-247.4251905
4019,19,1,0.114276752,0.137885416,4.97E-09,1.999999998,0.143187161,0.999999999,0.76672432,189.7354239,-393.4708478
4020,20,1,0.999999938,0.07998119,0.855465208,2,1.999999999,0.999999999,0.637799373,37.30573865,-88.6114773
4021,21,1,0.040123037,0.767058842,1.351301715,1.98599907,0.499999998,0.900576333,0.992293988,16.77061458,-47.54122915
4022,22,1,0.506862742,0.430479294,0.799996201,1.991870722,0.583125502,0.827003644,0.318695701,57.34297603,-128.6859521
4023,23,1,0.858270788,0.74674532,0.462709885,1.999999999,1.999999987,0.999999999,0.854352247,155.9337333,-325.8674666
4024,24,1,0.646917747,0.155433449,1.993532798,1.959198586,1.60031208,0.591941935,0.592272997,93.65397218,-201.3079444
4025,25,1,0.121621976,0.07629047,1.66E-09,1.999999996,0.234631754,0.999999997,0.912742025,224.4851785,-462.970357
4026,26,1,0.75013715,0.154227777,1.546589541,0.315400093,0.182092711,0.524488879,0.998799726,74.09188902,-162.183778
4027,27,1,0.222348695,0.80671372,0.721463274,1.999999954,1.42E-09,0.298465582,0.465433676,57.21872881,-128.4374576
4028,28,1,0.999999994,0.849667165,1.999999969,0.642063691,3.66E-08,0.999999992,0.937088245,128.4350439,-270.8700878
4029,29,1,0.728055142,0.394576367,1.999999993,1.237806449,1.570801086,0.999999998,0.461591382,50.54917029,-115.0983406
4030,30,1,0.04119506,0.020584622,1.66E-08,1.99999998,1.198622746,0.999999985,0.999999993,49.83034227,-113.6606845
4001,1,2,1.33E-10,0.508628184,3.38E-09,1.999999999,1.999999997,0.952303538,0.999999998,100.1927537,-214.3855074
4002,2,2,0.999999992,0.085046389,2.75E-08,1.999999986,0.255769699,0.142871887,1.24E-08,76.94356731,-167.8871346
4003,3,2,0.605572111,0.277516562,1.945435567,0.974213361,0.310089518,0.681448357,0.115464406,42.79664684,-99.59329368
4004,4,2,0.070549648,0.32583337,0.003128637,1.114197172,0.152914248,0.644379637,0.550588593,125.8535097,-265.7070194
4005,5,2,0.001868693,0.164461629,0.260368865,1.999997759,2.95E-07,1.12E-06,0.140106291,69.65055875,-153.3011175
4006,6,2,0.056471163,3.88E-11,0.379011159,1.999999737,7.67E-09,0.119210233,0.352478526,161.639118,-337.2782359
4007,7,2,0.128927059,0.114981878,0.327023375,1.999999995,1.48E-09,0.772156841,0.846025476,92.33695577,-198.6739115
4008,8,2,0.116774325,0.507327931,1.85E-09,1.999999999,0.104869793,0.442815892,0.49667907,171.567404,-357.1348081
4009,9,2,0.979279103,0.27040294,1.430571921,0.530064801,1.981056356,0.98690972,0.473716247,145.9134854,-305.8269709
4010,10,2,0.174030008,0.175087128,1.999999382,0.417348636,1.24E-07,0.396190824,0.381126028,22.56361681,-59.12723362
4011,11,2,0.126398941,4.30E-06,0.405937015,0.200024333,1.825791878,0.835766471,0.165362044,133.7850667,-281.5701333
4012,12,2,1,0.798945221,1.325225249,1.455466617,0.189525882,1,0.988112611,109.0840835,-232.168167
