subject,condition,trial,delta,q_val
1,1,1,-1.181309233,0.927196225
1,1,2,-1.181309233,0.927196225
1,1,3,3.072803775,2.187206982
1,1,4,0,0
1,1,5,-3.503059259,0.749511499
1,1,6,8.415939445,5.035037255
1,1,7,2.964962745,6.250827532
1,1,8,-2.250827532,5.766649013
1,1,9,0.233350987,5.86233516
1,1,10,-6.867207104,0.889993004
1,1,11,-1.181309233,0.927196225
1,1,12,-0.927196225,0.727745805
1,1,13,-5.730351089,-0.502312394
1,1,14,-1.533682776,3.203770224
1,1,15,0.054161571,-0.031952485
1,1,16,6.786079552,5.996569084
1,1,17,-1.239802124,0.973106632
1,1,18,-0.545485202,0.428145151
1,1,19,-1.379186596,0.582507924
1,1,20,0.309319135,0.317517938
1,1,21,-0.640476303,0.50270259
1,1,22,-0.207242614,0.162662379
1,1,23,-0.467020167,0.366558834
1,1,24,-2.802278131,-0.800523663
1,1,25,0.800523663,-0.472266963
1,1,26,0.472266963,-0.278612732
1,1,27,4.960639151,7.073483152
1,1,28,-0.651042698,0.510996033
1,1,29,-0.155854126,0.622328137
1,1,30,-0.622328137,0.488458299
1,1,31,-0.827403408,6.649419555
1,1,32,-1.345998417,0.056458899
1,1,33,-1.056458899,-0.170797387
1,1,34,0.179097004,-0.105657837
1,1,35,0.137233466,-0.080960545
1,1,36,0.079939409,-0.047160058
1,1,37,0.047160058,-0.02782196
1,1,38,0.02782196,-0.016413497
1,1,39,-2.338383314,-0.164629447
1,1,40,0.419029449,-0.247205391
1,1,41,1.78E-08,5.99999999
1,1,42,0.086100651,-0.050794867
1,1,43,3.983864199,7.649729129
1,1,44,-0.386722945,0.303534455
1,1,45,-10.44894718,-1.798739818
1,1,46,2.215924641,6.692720717
1,1,47,1.307279283,7.228773807
1,1,48,-1.228773807,6.964450631
1,1,49,0.721142824,-0.425436433
1,1,50,1.21488881,-0.716720661
1,1,51,0.197758518,-0.11666715
1,1,52,0,-0.11666715
1,1,53,0.11666715,-0.068827498
1,1,54,0,-0.657795284
1,1,55,0.068827498,-0.040604613
1,1,56,0.612181485,-0.361154959
1,1,57,0,-0.361154959
1,1,58,0,-0.361154959
1,1,59,-0.074122104,0.058177599
1,1,60,0.373917085,-0.220591463
2,1,1,9.174843415,6.036185933
2,1,2,0.174843415,0.924462276
2,1,3,1.963814067,7.151572024
2,1,4,1.174843415,1.492431571
2,1,5,-5.492431571,0.825732249
2,1,6,-5.825156585,0.118069406
2,1,7,3.137877313,2.644340653
2,1,8,-1.825740414,0.604122743
2,1,9,-0.097353556,0.085536285
2,1,10,-0.085536285,0.075153455
2,1,11,-6.621540651,1.817784317
2,1,12,3.00872575,8.700138093
2,1,13,-4.54E-08,3.99E-08
2,1,14,-0.026893346,0.523628895
2,1,15,-0.523628895,0.460068152
2,1,16,-1.460068152,0.282837642
2,1,17,-0.677315842,8.595099795
2,1,18,-4.595099795,8.037323175
2,1,19,0.082669505,-0.035715765
2,1,20,-2.464284235,-0.334843138
2,1,21,-0.009351251,8.008216148
2,1,22,-0.194912278,0.171252833
2,1,23,5.795167923,4.996309518
2,1,24,0.337146658,-0.145657708
2,1,25,-2.006019652,7.762518768
2,1,26,-0.973540026,4.855366779
2,1,27,-5.751468096,7.053325601
2,1,28,-1.053325601,6.925467574
2,1,29,0.256720096,-0.110910964
2,1,30,1.93979293,1.161949893
2,1,31,-6.778131147,3.955367061
2,1,32,-3.955367061,3.475244459
2,1,33,-9.475244459,2.32509102
2,1,34,-1.432560056,0.758668619
2,1,35,-0.808830003,2.210650097
2,1,36,3.32935861,8.561614853
2,1,37,1.438385147,9.378573451
2,1,38,0.621426549,9.73152465
2,1,39,3.78933588,4.362890549
2,1,40,-3.634286067,-0.806862089
2,1,41,-4.321637696,3.797055298
2,1,42,-1.641226662,9.44200621
2,1,43,-2.640574013,0.320047689
2,1,44,0.904519888,-0.390780365
2,1,45,-3.748454848,3.293448304
2,1,46,-0.56667085,-0.502114544
2,1,47,0.502114544,-0.2169289
2,1,48,0.728929728,0.685079976
2,1,49,-5.363057482,8.712062246
2,1,50,-13.22614304,1.620686429
2,1,51,0.427933386,-0.184880362
2,1,52,0.525925293,0.772784125
